,_id,Title,Company,Location,Salary,Description,Date,Job_Search,Department_Search,city,cp,salary_min,salary_max,salary_type,salary_mean,salary_label_quartiles,salary_label_percentile,label_3_mean,label_min_max,salary_label_tertiles
0,p_008d77a008590232,INGÉNIEUR DÉVELOPPEUR C++ / JAVA F/H,ALTEN,Toulouse (31),30 000 € - 45 000 € par an,"Partenaire technologique de référence des plus grandes entreprises françaises et internationales, ALTEN est devenu en 30 ans le leader européen de l’Ingénierie et du Conseil en Technologies. Labélisé ""Top employeur"" 2019, ALTEN est un acteur majeur du recrutement d’ingénieurs en France et dans le monde. Rejoindre ALTEN, c'est la promesse de participer, en France comme à l'International, aux projets technologiques les plus passionnants tels que la voiture électrique, les avions de demain, la sécurité et la maîtrise des risques, les services utilisateurs (applications mobiles...). Description du poste Vous vous assurez du bon déroulement de migrations applicatives. A ce titre, vous êtes en charge des activités suivantes : - Des activités liées au développement (technologies C++/Java) - De la gestion des bases de données via Oracle; Description du profil Diplômé d’une formation de niveau Bac +5 (ingénieur ou master 2) idéalement spécialisée en informatique, vous faites preuve à minima d’une année d’expérience en développement logiciel. Une expérience dans un environnement anglophone serait un plus. Autonome, curieux, proactif et doté d’un excellent relationnel, vous appréciez le travail en équipe ainsi que les challenges techniques. Type d'emploi : CDI Salaire : 30 000,00€ à 45 000,00€ /an Expérience: ingénieur développeur c++ / java f/h ou similaire: 1 an (Souhaité)",08/09/2019,Développeur,Haute-Garonne,Toulouse ,31,30000.0,45000.0,annually,37500.0,0,1,2,0,1
1,p_00f2ad8db3c30b8e,Devops F/H,Kent FR,Bordeaux (33),35 000 € - 40 000 € par an,"KENT, marque de GroupAgora dédiée aux recrutements de profils IT, recherche 1 Devops F/H. Rôles & Missions Le moment de trouver le poste de vos rêves est enfin venu ! Dans un contexte d’expansion, notre client spécialisé dans le négoce, est à la recherche d’un DevOps qui saura s’intégrer dans une équipe dynamique et soudée. Cette entreprise familiale possède plus de 500 points de ventes en France et à l’international ! Elle compte donc sur vous pour représenter ses principales valeurs, à savoir « respect », « expertise » et « appartenance ». En tant que membre à part entière de cette société très conviviale, vous serez amené(e) à remplir certaines missions : Accompagner des développeurs internes et externes dans leur production Superviser le projet d’hybridation du Cloud privé (pour la mise en place d'un plan PCA) Fluidifier les échanges entre l’infogéreur, les équipes projets et l'équipe RUN Réaliser et valider les CI/CD des projets Administrer les machines de développement internes POC de nouvelles solutions de containers vers du CloudPublic pour l'amélioration de la chaîne de fabrication Profil Attendu Nous recherchons donc une personnalité partageant la philosophie DevOps, justifiant d’un bac+5 et possédant au moins 2 ans d’expérience dans ce domaine. Vous êtes curieux(euse), force de propositions, et très motivé(e) à l’idée de rejoindre une équipe soudée. Vous êtes d’un tempérament dynamique, à l’écoute et force de propositions avec une forte envie de faire avancer votre équipe dans un groupe sympa, intelligent, franc et drôle ! De plus, la technologie Docker n’a plus de secret pour vous. Enfin, des connaissances concernant les applications WEB l’OpenSource (PHP, eZPublish, SF2/3, Silex) ; les environnements industrialisés (VMWare, Caspistrano, Chef, Puppet) et les technologies fonctionnant sous Docker (docker-compose, Kubernetes) sont un plus. Ne laissez pas passer votre chance et envoyez-nous votre plus beau CV ! Date de début souhaitée ASAP",09/03/2019,Développeur,Gironde,Bordeaux ,33,35000.0,40000.0,annually,37500.0,0,1,2,0,1
2,p_00fa03a21ad52a71,Data Scientist H/F,QYSY,Paris (75),40 000 € - 65 000 € par an,"QYSY est un cabinet de conseil et de recrutementqui propose de renforcer les équipes aussi bien internes qu'externes de ses partenaires, en vue d'une amélioration de leurs performances opérationnelles, techniques et financières en France comme à l'International. Nous recrutons pour nos clients des Data Scientist avec une première expérience significative. Le client conçoit des logiciels et des applications mobiles dans les secteurs d'activités de la mobilité urbaine ainsi que de l'industrie.Intégré dans l'équipe Dev, vous êtes une personne autonome, organisée. Vous êtes force de proposition, un.e ""touche à tout"" du web et de la programmation en général, vous vous intéressez aux dernières innovations en matière de développement. Les livrables attendus sont : - Déterminer la bonne technique d’approche et d’analyse pour chaque data - Maitriser des outils analytiques - Avoir des notions de machine learning, deep learning, d’algèbre linéaire et des fonctions de plusieurs variables - Gérer des data non structurées - Comprendre l’ingénierie des logiciels afin de construire un produit dirigé par les data - Outils techniques : Python, R, Apache Spark, Apache Cassandra, SQL, AWS, etc. N'attendez plus pour nous envoyer vos candidatures ! Type d'emploi : CDI Salaire : 40 000,00€ à 65 000,00€ /an Expérience: data scientist h/f ou similaire: 2 ans (Requis) Formation: Bac +5 (Master / MBA) (Requis)",29/09/2019,Data,75,Paris,75,40000.0,65000.0,annually,52500.0,3,1,0,1,3
3,p_0130bef769eef3cc,BUSINESS DEVELOPER BTOB - DATA INTELLIGENCE (H/F),L.I.P,Lyon 3e (69),35 000 € - 60 000 € par an,"69003 - Lyon-3e-Arrondissement CDI Bac+5 et plus/Ingénieur 0 à 2 ans Poste LIP Solutions RH est la branche Tertiaire & Ingénierie (CDI et Travail temporaire) du Groupe LIP et compte aujourd’hui 21 bureaux en France et 60 consultants experts. Notre agence Télémarketing et Force de Vente de Lyon, recrute pour son client société innovante dans l’informatique stratégique des grand comptes et ETI, en particulier dans le domaine de la “Data Intelligence” (La maîtrise, l’analyse ou la production de la donnée sous ses multiples formes). L’offre se traduit par les approches de Business Intelligence, Data Visualisation, Communication Digitale, Data Quality, etc. Conseille et conduits des projets de conseil et d’ingénierie sur-mesure pour nos clients, situés majoritairement dans les régions lyonnaise et parisienne et de différentes tailles, ETI et grands comptes. En rejoignant notre équipe, se structurant pour alimenter sa volonté de croissance, vous aurez pour ambition de diversifier et développer l’activité commerciale de l’entreprise. Travaillant directement avec le Dirigeant et les Directeurs des pôles Conseil et Services, les missions seront de détecter les opportunités auprès des grands comptes et ETI des régions lyonnaise et parisienne, présenter et convaincre sur l’offre conseil et centre de services, négocier, et bien sûr, vendre. Aimer interagir auprès de grands comptes et d’interlocuteurs de haut niveau est une condition facilitant une prise rapide d’autonomie et de responsabilités. Mais le plus important reste l’envie d’être un acteur majeur, unique et reconnu de notre croissance. En sortant de l’anonymat des grands ESN, vous donnerez corps à votre envie de développement de carrière. Un travail dans la durée, la prise d’autonomie et la volonté de devenir un manager de premier plan vous permettra dans la foulée la construction d’une Direction Commerciale. Profil recherché Entrepreneur(se), volontaire(se) et passionné(e), vous possédez une formation Bac+5 en école de commerce. Votre cursus professionnel doit justifier d’une expérience notable (2 à 5 ans) dans le commerce au sein d’ESN et la vente de services informatiques. La pratique de l’anglais est importante. Rémunération 35.000 à 60.000 € suivant la performance, intéressement et autres avantages à positionner dans le temps.",07/10/2019,Data,Rhône,Lyon,69,35000.0,60000.0,annually,47500.0,2,1,0,3,2
4,p_019d01b7494dc632,Référent fonctionnel et données - Data manager (H/F),GARCIN FINANCES ET PARTICIPATIONS,Corbas (69),40 000 € - 45 000 € par an,"Vous souhaitez participer à la structuration des données et usages des SI, au sein d’une entreprise en pleine expansion ? Notre SI s’est construit au fil du temps et nos besoins en extraction de données sont à la mesure de la taille de l’entreprise qui rassemble aujourd’hui 400 collaborateurs. VOTRE MISSION Rattaché/e au Responsable des Systèmes d’Information, vous intégrez le service informatique de l’entreprise composé à ce jour de 3 personnes. Vous êtes responsable de la disponibilité et du traitement des données stockées et produites par le SI. Vous modélisez et élaborez des critères de segmentation des données. Vos capacités d’analyse vous permettent d’établir une cartographie optimisant leur administration, leur stockage et leur structuration. Vous tenez le rôle de référent dans les projets de déploiement d'outils informatique métiers et ERP, auprès des services utilisateurs et usines de production. Vous apportez un support méthodologique de gestion de projet, et participez au suivi et à la coordination des évolutions du SI. VOUS Vous êtes diplômé d’école d’ingénieur informatique, et avez au moins une expérience de gestion technique et/ou fonctionnelle des données d’entreprise, idéalement dans le domaine industriel. Vous appréciez l’interaction avec différents interlocuteurs, et savez gérer des échanges avec les utilisateurs des outils informatiques afin de recueillir des besoins et animer des revues d’avancement. Vous êtes également autonome et curieux : vous vous intéressez aux processus métiers d’une entreprise. Vos compétences techniques : Connaissances en bases de données et Outil de reporting / BI (théoriques et pratiques : MS SQL, MyReport). Connaissances en systèmes d’exploitation informatiques (Win 7, 10 et server 2012 et 2016, Linux). Idéalement, vous avez également des connaissances sur les processus ITIL. NOUS Groupe industriel familial en forte croissance, spécialisé dans la fabrication d'armatures pour béton armé, implanté sur 17 sites industriels répartis dans toute la France. Poste basé à Corbas (69) à pourvoir dès que possible dans le cadre d’une création de poste. Des déplacements nationaux ponctuels sont à prévoir, selon les besoins des projets (Permis B). Type d'emploi : Temps plein, CDI Salaire : 40 000,00€ à 45 000,00€ /an Expérience: référent fonctionnel et données (h/f) ou similaire: 1 an (Requis) Formation: Bac +5 (Master / MBA) (Requis)",10/09/2019,Data,Rhône,Corbas ,69,40000.0,45000.0,annually,42500.0,1,1,0,3,2
5,p_02074799b0dbc42e,Développeur PHP / Laravel,Sept Lieues,Paris (75),32 000 € - 37 000 € par an,"PME de près de 20 ans d'existence dans la gestion de situations de crises, en pleine croissance. Environ 30 personnes en plein centre de Paris. Appartient a un groupe leader mondial sur leur domaine. Domaine de la protection, sécurité et sureté. LE POSTE / LES MISSIONS Vous êtes directement en lien avec l'équipe technique de 4 personnes et le Directeur IT, vos missions consistent à : Participer à la conception et la mise en place d'architectures Développer les outils de suivi des voyageurs Développer le système de géolocalisation (via smartphones et balises satellites) Développer des différents sites web  Environnement technique : PHP, Laravel, Javascript, Jquery, HTML, CSS, Bootstrap, MySQL, PostgreSQL, Jira, Jenkins, Ajax, API,Git PROFIL RECHERCHÉ Vous avez un bac+3 dans le domaine informatique A minima 2 ans d'expérience sur un poste similaire",08/04/2019,Développeur,75,Paris,75,32000.0,37000.0,annually,34500.0,0,0,2,0,1
6,p_02270c340e21e7ab,Développeur WinDev H/F,Axemploi Recrutement,Nantes (44),30 000 € - 40 000 € par an,"DEVELOPPEUR WINDEV H/F  Vous interviendrez sur des développements en WinDev sur des ERP et configurateurs de commandes. Apportez votre bagage d'expérience et de compétences L'équipe d'une vingtaine de développeurs vous accueillera. L’entreprise  Nantes, 44, Loire-Atlantique, Pays-de-Loire : des immeubles neufs, des appartements résidentiels, des programmes immobiliers d'envergure seront équipés de garde-corps, de menuiseries aluminium, balcons, portails pour leur sécurité et esthétique. Dans cette dynamique très porteuse, la demande de développements spécifiques en WinDev est enrichie de la créativité des industriels de ce secteur pour optimiser leurs logiciels de production. Le profil expert recherché  (H/F) de formation supérieure en informatique les développements en WinDev n'ont plus de secrets pour vous. Échanger en anglais avec des interlocuteurs internationaux ajoute à votre sens de la communication. Quelques déplacements très ponctuels en France agrémenteront votre goût pour la découverte.  Tenté(e) par cette évolution en CDI, vous bénéficierez d'une reconnaissance salariale évolutive et qualitative, des horaires personnalisés, des locaux où le bonheur dans l'entreprise est une réalité.  Cette création de poste est faite pour vous ! Missionné en exclusivité, Axemploi accueillera votre candidature et vous répondra confidentiellement.",18/09/2019,Développeur,Loire-Atlantique,Nantes ,44,30000.0,40000.0,annually,35000.0,0,0,2,0,1
7,p_033110c9c03332f9,Développeur Java H/F,WOM,Lyon (69),30 000 € - 40 000 € par an,"Notre client, spécialisé dans l’édition de logiciel en RSE, recherche un Développeur Java H/F en CDI à Lyon, dans le cadre d’une création de poste. Vous intégrez une équipe de développement réalisant des projets dans un état d’esprit agile (Scrum, Kanban, XP…) où tout le monde contribue à l’amélioration permanente aussi bien de l’expérience utilisateur que de leurs méthodes de travail. C’est la raison pour laquelle nous recherchons une personne issue d’une formation supérieure en Informatique (Master, Master 2, Ingénieur…) justifiant une première expérience d’un an minimum dans le développement d’application Java en mode SaaS (J2EE, Spring/Hibernate, VueJS). Vous maîtrisez Java 8, Spring ou un autre FW IOC et Javascript, HTML 5 et CSS ne vous font pas peur. Pour vous, qualité rime avec satisfaction client. Javascript Objet et Ajax n’ont plus de secret pour vous ! Vous êtes familier avec les tests unitaires, l’intégration continue et les SCMs tels que Git. Des connaissances d’Eclipse / Intelij Idea / Firebug, IE7/8, Firefox, ainsi que PHP5, seraient un plus. Enfin, vous aimez travaillez en équipe et êtes une personne autonome. Si vous êtes débutant et/ou n’êtes pas sûr de maîtriser ces technologies, envoyez-nous quand même votre CV si vous êtes capacité d’apprentissage rapide ! Type d'emploi : CDI Salaire : 30 000,00€ à 40 000,00€ /an Expérience: développeur java h/f ou similaire: 1 an (Requis)",03/10/2019,Développeur,Rhône,Lyon,69,30000.0,40000.0,annually,35000.0,0,0,2,0,1
8,p_046189897fdb70ed,CONTRÔLEUR DE GESTION - DATA ANALYST,SH Conseils,Paris 8e (75),35 000 € - 38 000 € par an,"Pour le compte d’un Opérateur Télécoms de premier plan (15 000 p France) , nous recherchons un : « Contrôleur de Gestion / Data Analyst – H/F » Rattaché(e) au responsable contrôle de gestion, vous intervenez sur le pilotage de multiples activités (Flotte Automobile, Logistique & Supply Chain, Matériel Réseau…) et aurez pour missions principales : Produire et Analyser les reporting de suivi d’activité Interpréter / alerter sur les écarts budgétaires (suivi des primes d’assurance, hausse de la sinistralité, coûts, performances …) Participer à l'amélioration des outils et des process en lien avec l’évolution de l’activité Agir en tant qu’'interlocuteur privilégié de la direction financière Effectuer des analyses ponctuelles à destination de la direction PROFIL : De formation supérieure (Ecole de Commerce, Master 2 universitaire) avec une spécialisation en Finance, vous avez une première expérience professionnelle (2/3 ans alternance comprise) en tant que contrôleur de gestion. Au-delà de votre goût pour les chiffres, vous possédez une excellente capacité d’analyse et une forte aptitude à communiquer en interne. Capacité d’analyse Autonomie Très bonne maîtrise d’Excel Capacité à comprendre les enjeux business derrière les chiffres Type d'emploi : Temps plein, CDI Salaire : 35 000,00€ à 38 000,00€ /an Expérience: contrôle de gestion: 2 ans (Souhaité) Formation: Bac +5 (Master / MBA) (Requis) Langue: Anglais (Souhaité)",18/09/2019,Data,75,Paris,75,35000.0,38000.0,annually,36500.0,0,1,2,0,1
9,p_05b4d08c39d1a13c,Développeur Mobile (Senior) iOS / Swift H/F,EXTERNATIC,Bordeaux (33),40 000 € - 50 000 € par an,"DESCRIPTION DE L'OFFRE Externatic, le hub d’opportunités web, mobile, informatique et électronique dans l’ouest. Cabinet de recrutement des métiers du numérique, nous vous accompagnons dans votre recherche de postes UNIQUEMENT chez des clients finaux (startup, éditeur, DSI, agences digitales, etc) : exit les SSII ! Car ce ne sont pas les opportunités qui manquent, nous vous aidons dans la sélection de l’entreprise qui vous correspond le mieux en termes de projet et de valeurs ! Nous accompagnons aujourd’hui le développement de l’entreprise MirambeauAppCare – et son produit phare, DiabiLive. Startup française de la E-Santé fondée en 2017, primée d’abord par le prix du Président de la République du concours Lépine International PARIS 2016 puis par le prix Innovation Awards du CES de Las Vegas en 2018, MirambeauAppCare édite DiabiLive, solution innovante de suivi des patients diabétiques s’adressant à la fois aux professionnels de santé, aux patients et à leurs aidants. Certifiée dispositif médical de classe 2B marqué CE, DiabiLive transforme le quotidien des patients diabétiques grâce à l’adaptation automatisée et multifactorielle de leur protocole thérapeutique : relevés glycémiques, activité sportive, nutrition, état d’esprit, et bien d’autres. Grâce à la vision globale de ses créateurs, DiabiLive embarque dans son modèle les nouveaux usages de télésurveillance, de télé-expertise, de télémédecine qui élargissent l’accès aux soins au profit d’un plus grand nombre de patients, en dépassant les frontières des déserts médicaux et des zones défavorisées. A ce titre, DiabiLive est une réponse innovante et internationale - aux valeurs humanistes - aux enjeux globaux de Population Health Management. Après une première phase de validation de son MVP, MirambeauAppCare accélère son développement et entame une phase d’industrialisation de sa plateforme autour des axes suivants : intégration de nouvelles pathologies chroniques, mise à disposition de nouveaux modules applicatifs transverses et création de sa Data Platform. Dans ce cadre et dans un contexte de R&D à la pointe de la technologie (Cloud, IoT, BigData, intelligence artificielle, Blockchain), MirambeauAppCare renforce ses équipes et recherche un Développeur mobile senior iOS / Swift H/F. En tant que Développeur iOS – Swift H/F, vous assurez un rôle clé dans le développement de nouvelles fonctionnalités de l’application mobile iOS, tout en assurant la maintenance corrective du code existant. Vous rejoindrez une équipe de développement agile d’une quinzaine de personnes, organisée en pôles Backend, Frontend Web, et Mobile. Vous serez en charge du développement et de la maintenance de l'application mobile en langage Swift, Vous participez aux phases de conception fonctionnelle et technique, Vous optimisez les fonctionnalités existantes, leur ergonomie, les performances et la qualité du code Vous prenez en charge des revues de code des autres développeurs (Peer Review) Vous prenez en charge les activités liées au déploiement de l’application mobile dans l’AppStore Vous rédigez les documentations techniques de l’application mobile iOS Vous pratiquez une veille régulière et partagez vos découvertes avec l'équipe Stack/ environnement technologique : Une architecture micro-services Une stack moderne : Ruby On Rails côté back (mais aussi à venir NodeJS, Java, Scala, Python), Swagger, OpenAPI Docker, Kubernetes BDD PostgreSQL Cloud AWS / GCP Angular / ngRx côté Frontend web Swift et Kotlin côté Mobile Une usine logicielle complète avec intégration continue et déploiement continu (GitLab, Fabric, Jira, Heroku, RoolBar, Status Cake) Un fort attachement à la qualité du code (TDD, Code metrics, Review...) Des approches de conception et développement agiles (Story Mapping, Kanban, Design Sprint) Les « + » du poste : Des produits ultra-innovants, une startup dédiée au monde de la E-santé, de la télémédecine / télé-expertise, orientée « Homme » et centrée sur le patient. Un contexte de développement international et une vision globale Challenge « from scratch »: contribuez au développement du produit et de la marque, dès son lancement Une rémunération attractive : autour de 40 à 50K€/ an, selon votre parcours et vos compétences PROFIL REQUIS Titulaire d’un diplôme d’ingénieur / Master’s degree (Bac+5), vous justifiez au minimim de 3 à 5 années d’expériences sur du développement mobile natif (iOS), et avez donc de solides compétences en Swift. Vous connaissez les problématiques / enjeux de déploiement iOS sur l’AppStore, avez déjà croisé des sujets liés à la connexion Bluetooth avec d’autres devices. SI vous avez déjà mené un projet d’application Watch OS… nous pourrions apprécier votre expérience ! Par ailleurs, une appétence UX mobile, donc UX iOS serait un atout (pour tout le monde) J ! Vous êtes familier avec l’état de l’art du développement que vous saurez transmettre à vos collègues. Vous disposez d’une large culture autour des nouvelles technologies, et êtes (très) orienté qualité. Vous avez envie de travailler au sein d’une équipe qui grandit, et êtes en ce sens adaptable. Dans un contexte de développement international, vous êtes à l’aise quand vous devez vous exprimer à l’oral en anglais. Vous êtes par ailleurs parfaitement à l’aise à l’écrit avec l’anglais technique.",07/09/2019,Développeur,Gironde,Bordeaux ,33,40000.0,50000.0,annually,45000.0,1,1,0,3,2
