_id,Title,Company,Location,Salary,Description,Date,Job_Search,Department_Search
p_0ee7d1bc0f92603e,Data Engineer SPARK/SCALA (H/F),Ferchau,Paris (75),,"FERCHAU Engineering, 8400 collaborateurs, est le plus important employeur d'ingénierie en Allemagne. Après notre arrivée en France en 2005 à Toulouse, une agence supplémentaire en région parisienne a vu le jour pour accompagner nos clients sur l’ensemble des métiers de l’ingénierie. La division française de FERCHAU Engineering, couvre toute la gamme d’ingénierie : mécanique, électrique, électronique, informatique, systèmes embarqués, process qualité, management et pilotage de projets. Forte de plus de 100 collaborateurs, elle accompagne ses clients français dans des secteurs aussi variés que l’aéronautique, les machines spéciales, les technologies de l’information ou encore l’automobile. Vous souhaitez vous investir sur du long terme avec une entreprise à taille humaine capable de vous offrir la sécurité et la stabilité d'un groupe d'envergure internationale ? Mission Au sein de la DSI de notre client, acteur majeur dans le secteur du media. vous aurez pour mission de : Réaliser le recueil et la définition des besoins utilisateurs Définir les choix techniques en termes de produits en fonction du S.I. existant. Étudier et mettre en place les meilleures solutions techniques pour gérer les gros volumes de données. Développer des fonctionnalités pour mesurer les churns Alimenter les données avec les Scripts Scala Creer les Scripts Scala Réaliser les études de segmentation. Effectuer une veille sur les nouvelles technologies et solutions logicielles d’analyse des données. Rechercher et expérimenter de nouvelles méthodes de modélisation et d’analyse des données. Profil De formation Bac+5 en Informatique, vous justifiez d’une expérience significative de 3 ans en tant que Data Engineer. Vous maitrisez les requêtes SQL, Spark et Scala. Vous connaissez l’environnement Cloud, AWS ou Azure ou GCP. Un niveau d’anglais professionnel serait souhaitable. Type d'emploi : CDI Expérience: data engineer spark/scala (h/f) ou similaire: 3 ans (Souhaité)",07/10/2019,Data,75
p_af45e2a447bae65b,Big Data Engineer H/F,Square Sense,Paris (75),50 000 € - 60 000 € par an,"Technology domains: Kafka, Spark, Python, Java, Scala, Docker, Kubernetes, AWS, GCP, Azure Location: Paris, France Duration: CDI Square Sense Square Sense is a fast-growing platform that provides advanced data solutions to global real estate developers, investors and managers. The company builds AI-powered “brains” that improve the operational and financial performance of real estate assets by providing real-time pattern detection and autonomous optimization. They also greatly enhance the overall experience for the tenants. Square Sense was founded in 2017 in Paris by a multi-cultural team of talented engineers and data scientists. Software Engineering at Square Sense In Square Sense's Software Engineering Team we are building a multitude of products in the domains of data collection, analysis, visualization and IoT manipulation. Our systems collect data from IoT devices or third-party data sources, process ingested data in streaming and batch modes, organize processed data, provide the APIs to access it (thus creating a data analytics platform), or use third-party APIs to manipulate the physical world (thus making an automated decision making solution). Our main programming languages are Python and Scala. From software engineering standpoint, our current technology stack includes Docker and Kubernetes, Kafka, Spark, Beam, Airflow, as well as various related Google Cloud Platform services (GKE, Dataproc, Dataflow, Pub/Sub, BigQuery) and Azure services (e.g.: AKS, HDInsight, etc.). All team members are responsible for the overall design and architecture, development, quality, production delivery, and monitoring. Objectives As a Data Engineer you will be a member of the Software Engineering Team. This position implies close collaboration with members of our Data Science Team, who design and implement various data processing algorithms. Primary objectives of a Data Engineer are: Develop various components for data collection (connectors for various IoT devices and third-party services, web hooks, or MQ clients) and ingestion of collected data (using Kafka, for example). Develop data processing applications (for example, streaming and batch data pipelines with Apache Kafka Streams and Apache Spark). Automate data processing tasks and their monitoring in production (for example, orchestration of batch processing jobs using Airflow). Design efficient data models using various storage technologies (cloud file storages, relational DBs and non-relational DBs such as Cassandra for instance). Implement APIs (GraphQL and REST) to access processed data. Profile We are looking for a software engineer with 3+ years of industry experience in back-end software development or data engineering. Candidates for this position are expected to have: Industry experience and strong programming skills with at least one of the following programming languages: Python, Java, or Scala. We expect a candidate to be fully autonomous in the coding process. Willingness to learn new programming languages and new technologies. Industry experience in back-end software development and/or data engineering. Good knowledge of SQL and relational databases. A taste for high quality software (clean code, high test coverage, willingness to do thorough PR reviews). Knowledge in following areas is a plus: Kafka, Kafka Connect, Kafka Streams, KSQL Spark Docker, Kubernetes, Helm NoSQL databases Amazon Web Services / Google Cloud Platform / Microsoft Azure Agile methodology and Scrum in particular Being passionate about IT ourselves, we are looking for a likewise passionate person with a good team spirit. Working at Square Sense Every member of our enthusiastic multi-cultural team is passionate about the technology; team leaders have 10+ years of professional experience in Software Engineering and Data Science. Currently with 8 full-time members we are looking to double the team size in next 12 months. We offer a motivating work environment, competitive salary and participation in the stock option plan. We work in a nice comfortable office in the center of Paris (Métro Strasbourg – Saint-Denis). Apply To apply for this position, please send us your CV via indeed.com, or visit https://jobs.square-sense.com/data-engineer/ Job Type: Permanent Salary: 50,000.00€ to 60,000.00€ /year Experience: professional software development: 3 years (Required)",07/10/2019,Data,75
p_8329bc28041f579e,Data Scientist / Data Miner / Freelance,DUONEXT,Paris (75),,"Bonjour,  Nous recherchons une personne pour intervenir chez un client grand compte en IDF (très proche Paris). Le rôle consiste à intervenir en tant que Data Miner, dans le cadre d’un déploiement SAP. Une expérience sur l’outil de reporting Service Now (Comptage et statistiques sur tickets), ainsi que la connaissance de Data Studio pour la mise en oeuvre de KPI’s est indispensable.  Profil sénior - Anglais nécessaire.  L’intervention est à temps plein, pour une longue durée,début ASAP.",07/10/2019,Data,75
p_9ba1a3ab379e9b6e,Data Engineer (H/F) / Freelance,Human Job,Paris (75),500 € par mois,"Soutenir le développement de la plateforme BIG DATA (code, test, déploiement, support) et de ses applications pour extraire, consolider et appliquer les algortihmes. Beaucoup de données à rendre disponibles.  Tâches : Construire des pipelines de données optimaux répondant aux besoins et aux exigences des propriétaires d’entreprise Maintenir les ensembles de données les plus critiques avec une surveillance de haute qualité Développer des outils et des processus pour collecter et surveiller les métriques de qualité des données Participer à la construction de la vision à long terme sur la plateforme de données  Exigences : Expérience de codage en Python, Scala ou autre Expérience de la mise en uvre de services gérés AWS dans le contexte de la création d’une plate-forme de données sans serveur Expérience dans le framework Spark Expérience pratique en modélisation de données Contexte des cycles de programmation ou de développement (Devops) Français courant parlé et écrit obligatoire, anglais professionnel",07/10/2019,Data,75
p_8ccc668de734a40e,Data Engineer (H/F) / Freelance,HR-TEAM,Paris (75),500 € - 650 € par mois,"Contexte : Nous recherchons aujourd’hui plusieurs Data Engineer(H/F), vos mission seront entre autres :  Mettre en place les processus d’intégration continue (Jenkins, Artifactory, Makefile ) Développer et maintenir le code et les packages permettant d’appeler / lire / préparer / écrire les données nécessaires à la data science présentes sur différents environnements (SQL Server, Azure blob storage, données externes ) Mettre en place les transformations nécessaires pour permettre aux données d’être consommées efficacement par les algorithmes En phase d’exploration / prototypage, s’interfacer avec l’équipe Data pour disposer des bonnes données en entrée des algorithmes envisagés En phase de déploiement, s’interfacer avec le project manager et l’équipe Data pour définir les données en entrée et en sortie des algorithmes à déployer Faire remonter les besoins en données, qualité de données, éventuellement stockage / format de la donnée Développer / mettre en place le tooling nécessaire aux data scientists quand c’est possible, ou faire remonter ces besoins auprès de l’équipe Data (ex. : environnements dev/preprod/prod pour la data science) Réaliser les tests nécessaires et s’assure de la standardisation des processus de testing  L’équipe Data Science représente une dizaine de personnes et analyse des données et développe des algorithmes en R et en Python qui répondent aux besoins du métier et sont mis en production dans un environnement Azure ou C3.  Profil : Vous justifiez au minimum de 3-4 années d’expériences réussies sur des projets similaires et vous avez envie d’un nouveau challenge ? Vous avez des compétences en R & en Python ? ✨ N’hésitez plus et postulez ! Nous avons de beaux projets pour vous accompagner et vous faire monter en compétences. ✨",07/10/2019,Data,75
p_e2648d3bc48d7924,INGENIEUR DEVELOPPEMENT BIG DATA - F/H,Ingeniance,Paris (75),,"Contexte de la mission: Le Bénéficiaire souhaite mettre en place cette nouvelle application (notamment assurer la performance en insertion et en requetage) avec des méthodes agiles. A ce titre le Bénéficiaire souhaite bénéficier de l'expertise du Prestataire en termes d'Expertise technique et/ou fonctionnelle.  Dans ce cadre, la Prestation consiste à contribuer à/au(x): Conception des solutions techniques Développement du code permettant l'intégration d'indicateurs de risque de marché et leur distribution Optimisation des performances L'assistance à la MOA lors des spécifications fonctionnelles et des tests en UAT Tests unitaires (TDD) et test d'acceptance (BDD) La documentation technico-fonctionnelle Profil recherché: Diplômé(e) d'une école d'ingénieurs ou de formation équivalente (Bac+5), vous justifiez d'une première expérience en développement acquise dans le cadre d'un projet d'école ou d'un stage. Doté d'un bon relationnel, vous disposez d'une bonne capacité d'analyse. Vous justifiez d'un souhait réel de travailler sur du big data. Compétences techniques requises: Code Java Documentation: JIVE/Wiki Spécifications technique INGENIANCE est une société jeune et dynamique qui stimule l'innovation et la transformation digitale par l'accompagnement de ses clients dans leurs projets liés aux nouvelles technologies. Spécialiste des secteurs Banque, Finance et Assurance, INGENIANCE est également une entreprise technology-oriented qui offre une expertise multi-sectorielle autour du Big Data, du développement informatique, de la Blockchain et de la philosophie DevOps. Ceci permet à INGENIANCE de se positionner comme une entreprise leader du marché financier et avant-gardiste des technologies disruptives.",07/10/2019,Data,75
p_f82840e360fe0a8b,CONSULTANT BIG DATA - F/H,Ingeniance,Paris (75),,"Contexte de la mission :  Vous intégrez le département informatique en charge des systèmes d'information des données et de la conformité d'une banque d'investissement. L'entité a pour responsabilité, au plan mondial, l'ensemble des outils informatiques de contrôle des abus de marché et de conformité incluant les outils de gestion des risques opérationnels dont les principaux utilisateurs sont les � Compliance Officers �. En complément de cette responsabilité directe, l'entité a aussi comme rôle le pilotage des projets exécutés dans les autres entités, relatifs aux contraintes réglementaires. La prestation consiste à contribuer au projet ARM (Alert Risk Monitoring) pour les besoins de la banque.  Missions: Développement d'une infrastructure Bigdata (Hadoop). La mise en place des outils de restitution (webbapp java + Angular, Tableau server).  Sur les périmètres suivants: La surveillance de la fraude sur les activités de marché de GBIS (SAFE/MAR/AFS). La sécurité de l'information de GBIS (SAFE/ITS). La compliance pour le groupe SG (SEGL). Profil recherché: De formation Ingénieur ou équivalent (BAC+5), vous justifiez au minimum de 5 années d'expérience en tant que consultant technique (développeur ou architecte big data). Vous disposez d'une bonne capacité d'analyse et avez l'habitude d'évoluer dans des environnements agiles. Compétences techniques attendues: Hadoop Spark Java/J2ee Apache Javascript Linux Shell Agile, scrum   INGENIANCE est une société jeune et dynamique qui stimule l'innovation et la transformation digitale par l'accompagnement de ses clients dans leurs projets liés aux nouvelles technologies.  Spécialiste des secteurs Banque, Finance et Assurance, INGENIANCE est également une entreprise technology-oriented qui offre une expertise multi-sectorielle autour du Big Data, du développement informatique, de la Blockchain et de la philosophie DevOps.  Ceci permet à INGENIANCE de se positionner comme une entreprise leader du marché financier et avant-gardiste des technologies disruptives.",07/10/2019,Data,75
p_ed2dc1c40f937e76,Data Engineer (H/F),EOTIM,Paris (75),,"Eotim cabinet de recrutement spécialisé dans les profils IT recherche pour un de ses clients basé dans le 8ème arrondissement de Paris un(e) Data Engineer. Vous souhaitez apporter votre expertise et savoir-faire au sein d’une équipe composée de passionnés ? Être Data Engineer chez notre client c’est ? Accompagner leurs clients dans la mise en oeuvre de leurs projets Fast Data / Data Driven Participer aux activités d'architecture, de conception et de développement en collaboration avec les différentes équipes (Data Science, Cloud & Devops) afin de façonner la ou les solutions les plus adaptées Apporter votre savoir-faire sur un plan technique et méthodologique Appliquer les bonnes pratiques Et la stack technique ? Ils utilisent le plus souvent des techno comme Scala, Spark, Kafka, l’écosystème Hadoop, Mesos, Cassandra et ElasticSearch sans parler des nouveaux outils qu’ils aiment également tester ! PROFIL REQUIS Notre client recherche avant tout des personnalités qui enrichiront sa communauté / famille qui ne cesse de grandir. Vous vous reconnaissez dans cette offre ? Vous avez envie de rejoindre une communauté / famille qui n’a pas peur d’affirmer sa différence ? Alors cette offre est faite pour vous ! Type d'emploi : CDI",07/10/2019,Data,75
p_d5497eb2c3b8d86b,Chef de projet/Consultant microsoft Big Data,Eversa,Paris (75),,"Présentation Type de contrat : CDD, CDI, Freelance, Pour intervenir sur nos missions de conseil et d’expertise à haute valeur ajoutée, nous recherchons un “Consultant(e) / DBA Senior Microsoft SQL SERVER”, dont le rôle sera d’assurer des missions de conseils et d’accompagnement de nos clients sur leurs leurs projets et leurs infrastructures SQL Server. Poste : En tant qu’Ingénieur Big Data, vos principales missions seront les suivantes : Recueil des besoins auprès des directions métiers Conception et mise en œuvre des infrastructures Big Data Conception et mise en œuvre des flux d’alimentation Conseil et accompagnement des clients Conseil et accompagnement des Busines Analysts et des data scientists Réponses aux nouvelles demandes des utilisateurs Livraison des projets Automatisation de l’administration et des demandes Mise en place de nouveaux composants Création ou mise à jour des documents nécessaires à l’exploitation et l’administration des environnements Création ou mise à jour des documents de préconisation (architecture ou configuration) Maintien en condition opérationnelle de la production Profil De formation supérieure, vous disposez d’une expérience d’au moins 4 ans sur une fonction similaire. La maîtrise d’une ou plusieurs des technologies suivantes sera indispensable : Java Linux Shell Open Source SSL Redhat HortonWorks Hive Flume Spark ElasticSearch Des connaissances sur Hadoop, Kafka, HDFS, Knox et/ou Kerberos seront appréciées. Un bon relationnel, une facilité à vous adresser aux métiers, une grande capacité d’adaptation et de la rigueur seront des qualités essentielles chez EVERSA.",07/10/2019,Data,75
p_726bd453724c50b9,ARCHITECTE BIG DATA - F/H,Ingeniance,Paris (75),,"Contexte de la mission : Au sein de la DSI d'une banque de détail, les missions principales du département et de l'architecte big data consistent à: Veiller à la cohérence d'ensemble du SI Réseaux France en termes d'architecture fonctionnelle, applicative et technique, de référentiels et d'administration des données. Apporter un support aux directions fonctionnelles et au Centre de Solution Mutualisé dans les études et la conception. Assurer la maîtrise d'ouvrage et la maîtrise d'oeuvre des socles logiciels stratégiques et pérennes. Offrir un support et une assistance technique aux équipes utilisant ces socles logiciels de développement. Réaliser une veille technologique avancée, identifier et prototyper l'usage de solutions technologiques big data. Identifier de manière anticipée les travaux à mener pour éviter toute obsolescence des solutions SI. Mission : Dans ce cadre la Prestation consiste à contribuer à/au(x): Mener les projets Big Data de la Banque de détail sur les aspects d'architecture fonctionnelle et applicative. Préconiser des solutions répondant aux enjeux métier dans le respect des principes d'architecture SI en général et Big Data en particulier. Produire des études d'architecture Big Data permettant de construire et faire évoluer le cadre de référence pour les projets. Contribuer à l'évolution de la vision Data du Datalake. Mettre en place des principes de gouvernance de la donnée et des projets Big Data.   Profil recherché :   Diplômé(e) d'une grande école d'ingénieurs ou de formation équivalente (Bac+5), vous avez un excellent relationnel et disposez d'une bonne capacité d'analyse. La connaissance des méthodes et technologies de développement BigData (Spark, Hadoop) vous permettront de mener à bien la mission. INGENIANCE est une société jeune et dynamique qui stimule l'innovation et la transformation digitale par l'accompagnement de ses clients dans leurs projets liés aux nouvelles technologies. Spécialiste des secteurs Banque, Finance et Assurance, INGENIANCE est également une entreprise technology-oriented qui offre une expertise multi-sectorielle autour du Big Data, du développement informatique, de la Blockchain et de la philosophie DevOps. Ceci permet à INGENIANCE de se positionner comme une entreprise leader du marché financier et avant-gardiste des technologies disruptives.",07/10/2019,Data,75
