Job_Search,clean_title,Company,Department_Search,city,Title_data,Title_data_analyst,Title_data_scientist,Title_data_architect,Title_ingenieur,Title_big_data,Title_developpeur,Title_dev_frontend,Title_dev_web,Title_dev_mobile,Title_dev_back_end,Title_dev_fullstack,Title_devops,Title_informatique,Title_technique,Title_logiciel,Title_software,Title_junior,Title_assistant,Title_manager,Title_business,Title_confirme,Title_lead,Title_senior,Title_consultant,Title_directeur,experience_min,BTS,Deug,DUT,IUT,Licence,Master,Doctorat,Ecole_Ingénieure,cdi,stage,freelance,cdd,description_clean,Python,Java,Machine Learning,Deep Learning,Javascript,Swift,NoSql,SQL,Agile,J2ee,Jee,Ruby,HTML_CSS,Php,Spark,Big_data,Scala,Back_end,Git,R,Powerbi,Cloud,C,Docker,ABAP,WLang,salary_period,salary_min,salary_mean
Développeur,ingénieur développeur java,ALTEN,Haute-Garonne,Toulouse ,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,1,0,0,1,0,0,0,partenaire technologique reference plus grandes entreprises francaises internationales alten devenu ans leader europeen ingenierie conseil technologies labelise top employeur alten acteur majeur recrutement ingenieurs france monde rejoindre alten promesse participer france comme international projets technologiques plus passionnants tels voiture electrique demain securite maitrise risques services utilisateurs applications mobiles description poste assurez bon deroulement migrations applicatives titre etes charge activites suivantes activites liees developpement technologies c++ java gestion bases donnees via oracle description profil diplome formation niveau bac +5 ingenieur master 2 idealement specialisee informatique faites preuve minima annee experience developpement logiciel experience environnement anglophone plus autonome curieux proactif dote excellent relationnel appreciez travail equipe ainsi challenges techniques type emploi cdi salaire an experience ingenieur developpeur c++ java similaire 1 an souhaite,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,year,30000.0,37500.0
Développeur,devops,Kent FR,Gironde,Bordeaux ,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,0,0,0,1,0,0,1,0,0,0,kent marque groupagora dediee recrutements profils it recherche 1 devops roles missions moment trouver poste reves enfin venu contexte expansion client specialise negoce recherche devops saura integrer equipe dynamique soudee cette entreprise familiale possede plus points ventes france international compte donc representer principales valeurs savoir respect expertise appartenance tant membre part entiere cette societe tres conviviale amene remplir certaines missions accompagner developpeurs internes externes production superviser projet hybridation cloud prive mise place plan pca fluidifier echanges entre infogereur equipes projets equipe run realiser valider ci cd projets administrer machines developpement internes poc nouvelles solutions containers vers cloudpublic amelioration chaine fabrication profil attendu recherchons donc personnalite partageant philosophie devops justifiant bac+5 possedant moins 2 ans experience domaine etes curieux euse force propositions tres motive idee rejoindre equipe soudee etes temperament dynamique ecoute force propositions forte envie faire avancer equipe groupe sympa intelligent franc drole plus technologie docker plus secret enfin connaissances concernant applications web opensource php ezpublish sf2 3 silex environnements industrialises vmware caspistrano chef puppet technologies fonctionnant sous docker docker compose kubernetes plus laissez passer chance envoyez plus beau cv date debut souhaitee asap,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,year,35000.0,37500.0
Data,data scientist,QYSY,75,Paris,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,0,0,0,1,0,0,1,0,0,0,qysy cabinet conseil recrutementqui propose renforcer equipes aussi bien internes externes partenaires vue amelioration leurs performances operationnelles techniques financieres france comme international recrutons clients data scientist premiere experience significative client concoit logiciels applications mobiles secteurs activites mobilite urbaine ainsi industrie integre equipe dev etes personne autonome organisee etes force proposition touche tout web programmation general interessez dernieres innovations matiere developpement livrables attendus determiner bonne technique approche analyse chaque data maitriser outils analytiques avoir notions machine learning deep learning algebre lineaire fonctions plusieurs variables gerer data non structurees comprendre ingenierie logiciels afin construire produit dirige data outils techniques python r apache spark apache cassandra sql aws etc attendez plus envoyer candidatures type emploi cdi salaire an experience data scientist similaire 2 ans requis formation bac +5 master mba requis,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,year,40000.0,52500.0
Data,business developer btob data intelligence,L.I.P,Rhône,Lyon,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2.0,0,0,0,0,0,1,0,0,1,0,0,0,lyon 3e arrondissement cdi bac+5 plus ingenieur 0 2 ans poste lip solutions rh branche tertiaire ingenierie cdi travail temporaire groupe lip compte aujourd hui bureaux france consultants experts agence telemarketing force vente lyon recrute client societe innovante informatique strategique grand comptes eti particulier domaine data intelligence maitrise analyse production donnee sous multiples formes offre traduit approches business intelligence data visualisation communication digitale data quality etc conseille conduits projets conseil ingenierie mesure clients situes majoritairement regions lyonnaise parisienne differentes tailles eti grands comptes rejoignant equipe structurant alimenter volonte croissance ambition diversifier developper activite commerciale entreprise travaillant directement dirigeant directeurs poles conseil services missions detecter opportunites aupres grands comptes eti regions lyonnaise parisienne presenter convaincre offre conseil centre services negocier bien vendre aimer interagir aupres grands comptes interlocuteurs haut niveau condition facilitant prise rapide autonomie responsabilites plus important reste envie etre acteur majeur unique reconnu croissance sortant anonymat grands esn donnerez corps envie developpement carriere travail duree prise autonomie volonte devenir manager premier plan permettra foulee construction direction commerciale profil recherche entrepreneur volontaire passionne possedez formation bac+5 ecole commerce cursus professionnel doit justifier experience notable 2 5 ans commerce sein esn vente services informatiques pratique anglais importante remuneration suivant performance interessement autres avantages positionner temps,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,year,35000.0,47500.0
Data,référent fonctionnel données data manager,GARCIN FINANCES ET PARTICIPATIONS,Rhône,Corbas ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.0,0,0,0,0,0,1,0,0,1,0,0,0,souhaitez participer structuration donnees usages si sein entreprise pleine expansion si construit fil temps besoins extraction donnees mesure taille entreprise rassemble aujourd hui collaborateurs mission rattache responsable systemes information integrez service informatique entreprise compose jour 3 personnes etes responsable disponibilite traitement donnees stockees produites si modelisez elaborez criteres segmentation donnees capacites analyse permettent etablir cartographie optimisant administration stockage structuration tenez role referent projets deploiement outils informatique metiers erp aupres services utilisateurs usines production apportez support methodologique gestion projet participez suivi coordination evolutions si etes diplome ecole ingenieur informatique moins experience gestion technique fonctionnelle donnees entreprise idealement domaine industriel appreciez interaction differents interlocuteurs savez gerer echanges utilisateurs outils informatiques afin recueillir besoins animer revues avancement etes egalement autonome curieux interessez processus metiers entreprise competences techniques connaissances bases donnees outil reporting bi theoriques pratiques ms sql myreport connaissances systemes exploitation informatiques win 7 server linux idealement egalement connaissances processus itil groupe industriel familial forte croissance specialise fabrication armatures beton arme implante sites industriels repartis toute france poste base corbas pourvoir possible cadre creation poste deplacements nationaux ponctuels prevoir selon besoins projets permis type emploi temps plein cdi salaire an experience referent fonctionnel donnees similaire 1 an requis formation bac +5 master mba requis,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,year,40000.0,42500.0
Développeur,développeur php laravel,Sept Lieues,75,Paris,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,0,0,1,0,0,0,1,0,0,0,pme pres ans existence gestion situations crises pleine croissance environ personnes plein centre paris appartient groupe leader mondial domaine domaine protection securite surete poste missions etes directement lien equipe technique 4 personnes directeur it missions consistent participer conception mise place architectures developper outils suivi voyageurs developper systeme geolocalisation via smartphones balises satellites developper differents sites web environnement technique php laravel javascript jquery html css bootstrap mysql postgresql jira jenkins ajax api git profil recherche bac+3 domaine informatique minima 2 ans experience poste similaire,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,year,32000.0,34500.0
Développeur,développeur java,WOM,Rhône,Lyon,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,1,0,0,1,0,0,0,client specialise edition logiciel rse recherche developpeur java cdi lyon cadre creation poste integrez equipe developpement realisant projets etat esprit agile scrum kanban xp tout monde contribue amelioration permanente aussi bien experience utilisateur leurs methodes travail raison laquelle recherchons personne issue formation superieure informatique master master 2 ingenieur justifiant premiere experience an minimum developpement application java mode saas j2ee spring hibernate vuejs maitrisez java 8 spring autre fw ioc javascript html 5 css font peur qualite rime satisfaction client javascript objet ajax plus secret etes familier tests unitaires integration continue scms tels git connaissances eclipse intelij idea firebug ie7 8 firefox ainsi php5 plus enfin aimez travaillez equipe etes personne autonome si etes debutant etes maitriser technologies envoyez quand meme cv si etes capacite apprentissage rapide type emploi cdi salaire an experience developpeur java similaire 1 an requis,0,1,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,year,30000.0,35000.0
Data,contrôleur gestion data analyst,SH Conseils,75,Paris,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,0,0,0,1,0,0,1,0,0,0,compte operateur telecoms premier plan france recherchons controleur gestion data analyst rattache responsable controle gestion intervenez pilotage multiples activites flotte automobile logistique supply chain materiel reseau missions principales produire analyser reporting suivi activite interpreter alerter ecarts budgetaires suivi primes assurance hausse sinistralite couts performances participer amelioration outils process lien evolution activite agir tant interlocuteur privilegie direction financiere effectuer analyses ponctuelles destination direction profil formation superieure ecole commerce master 2 universitaire specialisation finance premiere experience professionnelle 2 3 ans alternance comprise tant controleur gestion dela gout chiffres possedez excellente capacite analyse forte aptitude communiquer interne capacite analyse autonomie tres bonne maitrise excel capacite comprendre enjeux business derriere chiffres type emploi temps plein cdi salaire an experience controle gestion 2 ans souhaite formation bac +5 master mba requis langue anglais souhaite,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,year,35000.0,36500.0
Développeur,développeur mobile senior ios swift,EXTERNATIC,Gironde,Bordeaux ,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0,0,0,0,0,1,0,0,1,0,0,0,description offre externatic hub opportunites web mobile informatique electronique ouest cabinet recrutement metiers numerique accompagnons recherche postes uniquement chez clients finaux startup editeur dsi agences digitales etc exit ssii car opportunites manquent aidons selection entreprise correspond mieux termes projet valeurs accompagnons aujourd hui developpement entreprise mirambeauappcare produit phare diabilive startup francaise sante fondee primee abord prix president republique concours lepine international paris puis prix innovation awards las vegas mirambeauappcare edite diabilive solution innovante suivi patients diabetiques adressant fois professionnels sante patients leurs aidants certifiee dispositif medical classe 2b marque diabilive transforme quotidien patients diabetiques grace adaptation automatisee multifactorielle protocole therapeutique releves glycemiques activite sportive nutrition etat esprit bien autres grace vision globale createurs diabilive embarque modele nouveaux usages telesurveillance tele expertise telemedecine elargissent acces soins profit plus grand nombre patients depassant frontieres deserts medicaux zones defavorisees titre diabilive reponse innovante internationale valeurs humanistes enjeux globaux population health management apres premiere phase validation mvp mirambeauappcare accelere developpement entame phase industrialisation plateforme autour axes suivants integration nouvelles pathologies chroniques mise disposition nouveaux modules applicatifs transverses creation data platform cadre contexte r pointe technologie cloud iot bigdata intelligence artificielle blockchain mirambeauappcare renforce equipes recherche developpeur mobile senior ios swift tant developpeur ios swift assurez role cle developpement nouvelles fonctionnalites application mobile ios tout assurant maintenance corrective code existant rejoindrez equipe developpement agile quinzaine personnes organisee poles backend frontend web mobile charge developpement maintenance application mobile langage swift participez phases conception fonctionnelle technique optimisez fonctionnalites existantes ergonomie performances qualite code prenez charge revues code autres developpeurs peer review prenez charge activites liees deploiement application mobile appstore redigez documentations techniques application mobile ios pratiquez veille reguliere partagez decouvertes equipe stack environnement technologique architecture micro services stack moderne ruby rails cote back aussi venir nodejs java scala python swagger openapi docker kubernetes bdd postgresql cloud aws gcp angular ngrx cote frontend web swift kotlin cote mobile usine logicielle complete integration continue deploiement continu gitlab fabric jira heroku roolbar status cake fort attachement qualite code tdd code metrics review approches conception developpement agiles story mapping kanban design sprint + poste produits ultra innovants startup dediee monde sante telemedecine tele expertise orientee homme centree patient contexte developpement international vision globale challenge from scratch contribuez developpement produit marque lancement remuneration attractive autour k an selon parcours competences profil requis titulaire diplome ingenieur master degree bac+5 justifiez minimim 3 5 annees experiences developpement mobile natif ios donc solides competences swift connaissez problematiques enjeux deploiement ios appstore deja croise sujets lies connexion bluetooth autres devices si deja mene projet application watch os pourrions apprecier experience ailleurs appetence ux mobile donc ux ios atout tout monde etes familier etat art developpement saurez transmettre collegues disposez large culture autour nouvelles technologies etes tres oriente qualite envie travailler sein equipe grandit etes sens adaptable contexte developpement international etes aise quand devez exprimer oral anglais etes ailleurs parfaitement aise ecrit anglais technique,1,1,0,0,1,1,0,1,1,0,0,1,0,0,0,1,1,1,1,1,0,1,0,1,0,0,year,40000.0,45000.0
Développeur,cdi client final développeur java fullstack,Idée Blanche Recrutement,Haute-Garonne,Toulouse ,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0,0,0,0,0,1,0,0,1,0,0,0,sein equipe developpement participerez realisation logiciel commercialise mode saas architecture conception nouveaux modules nouvelles fonctions logiciel developpement mode agile developpement solutions critiques mode saas developpement agile scrum integration continue competences indispensables developpement front end environnement javascript html5 angular developpement backend environnement java 8 spring maintenance application historique backbone jquery bases donnees relationnelles decisionnelles nosql conception mise oeuvre services rest connaissances interessantes business intelligence data science developpement mobile ios windows android python services cloud aws azure google cloud authentification spring security jwt sso saml oauth formation bac+5 informatique entre 3 5 ans experience professionnelle environnements techniques type emploi temps plein cdi salaire an experience cdi client final developpeur java fullstack similaire 3 ans requis formation bac +5 master mba requis,1,1,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,year,35000.0,40000.0
